,county,state_x,lat_avg,lng_avg,install_prop,state_y,d_prop,r_prop,d_votes,r_votes
22,Coryell,Texas,31.267916494603465,-97.82879936879014,1.7382290290568687e-05,Texas,0.28022714221910294,0.7197728577808971,4392.0,11281.0
23,Dallas,Texas,32.801236489430245,-96.7811613890808,2.544538825134055e-05,Texas,0.5998417192505787,0.4001582807494213,425208.0,283659.0
24,Denton,Texas,33.125957349075996,-97.0300945613595,5.6106601240075265e-05,Texas,0.3947828500069377,0.6052171499930623,113808.0,174472.0
25,Ector,Texas,31.869142237776703,-102.38549293913694,1.1190709792464861e-05,Texas,0.2723834798474042,0.7276165201525958,8211.0,21934.0
26,El Dorado,California,38.7588427206424,-120.69047650598154,0.001224721027483545,California,0.4058387468273757,0.5941612531726244,36297.0,53140.0
27,El Paso,Texas,31.78551476075345,-106.37039853908094,0.00016225585552528778,Texas,0.6813639364241101,0.3186360635758899,134181.0,62749.0
28,Erath,Texas,32.21123337925374,-98.23271223208765,0.0,Texas,0.16678735216027032,0.8332126478397297,2073.0,10356.0
29,Fort Bend,Texas,29.61183498280809,-95.68095960573172,1.2079863174981128e-05,Texas,0.4990188703276933,0.5009811296723067,125374.0,125867.0
30,Fresno,California,36.7431411317626,-119.76218793701534,0.0005513043175520649,California,0.4908371692735269,0.5091628307264732,124332.0,128974.0
31,Galveston,Texas,29.413354270490245,-95.0046932888087,1.697458044790024e-05,Texas,0.3528514243659014,0.6471485756340987,39314.0,72104.0
32,Grayson,Texas,33.6522878563734,-96.63664368447566,8.9342670237991e-07,Texas,0.23237228600391335,0.7676277139960866,9857.0,32562.0
33,Gregg,Texas,32.49692336858799,-94.7903363011005,8.118968555758588e-06,Texas,0.28153374750513027,0.7184662524948697,10015.0,25558.0
34,Guadalupe,Texas,29.59561323909905,-98.08253427070652,0.000155840424950773,Texas,0.322414984406805,0.6775850155931951,17265.0,36284.0
35,Hardin,Texas,30.303111218425645,-94.27360139468664,1.8523303705309057e-06,Texas,0.11719969780911609,0.8828003021908839,2327.0,17528.0
36,Harris,Texas,29.82576669014605,-95.40944374553897,7.05989040836313e-06,Texas,0.5290188730993763,0.47098112690062366,628804.0,559819.0
37,Harrison,Texas,32.53633145228045,-94.43266119653565,5.6318356405086676e-06,Texas,0.24931641938231208,0.7506835806176879,5562.0,16747.0
38,Hays,Texas,30.03145526632018,-97.95703475590321,2.9129245296209468e-06,Texas,0.5103452760257494,0.4896547239742506,39243.0,37652.0
39,Henderson,Texas,32.24074994252336,-95.93718893770607,3.1938320715035126e-06,Texas,0.17509565480925862,0.8249043451907414,4622.0,21775.0
40,Hidalgo,Texas,26.234398750733934,-98.18445501396593,0.0,Texas,0.6289335547283001,0.37106644527169985,93935.0,55421.0
41,Humboldt,California,40.77174178211272,-124.09904653344464,0.00011304024719576353,California,0.6449405278275789,0.3550594721724211,33455.0,18418.0
42,Imperial,California,32.868025337543,-115.55144572630905,0.0,California,0.6167336171233287,0.38326638287667125,20573.0,12785.0
