,county,state,tile_count,solar_system_count,total_panel_area,land_area,total_area,population,population_density,average_household_income,race_asian_rate,race_black_africa_rate,race_indian_alaska_rate,race_islander_rate,race_white_rate,race_other_rate,race_two_more_rate,diversity,voting_2016_dem_percentage,voting_2016_gop_percentage,avg_electricity_retail_rate,gini_index,ratio_panels_to_housing_units,education_highschool_percentage,education_bachelor_percentage,employed_percentage
1799,Marshall County,tn,27.0,18.0,2035.82247867,375.460132,376.155822,31159,579.19426,54680.08586815,0.006710406871618334,0.07911817428976499,0.0012042685413478334,0.0,0.8820373218153333,0.016087279170513665,0.014842549311650001,0.19219767087828332,0.24978074022100002,0.716277845992,9.269999999999998,0.4186666666666666,0.0020403536613012923,0.2865303764562406,0.07073397734201996,0.43765846143971243
1817,Maury County,tn,39.0,29.0,3208.5315248036004,613.1384989999999,615.5782689999999,84089,475.76090529411766,61915.29642194118,0.007016618723613528,0.1130652955653647,0.003768607227087059,0.0,0.8479626397375883,0.00932880936066941,0.018858029385591765,0.23760467192229417,0.28590167674200007,0.678139614463,9.27,0.41110588235294115,0.0010903600984119883,0.24950944832261057,0.08973825351710688,0.46178453781112866
1846,McMinn County,tn,59.0,35.0,4277.733900453501,430.124933,432.18331300000006,52506,292.23940699999997,50062.61156479,0.00506649418581,0.04200673653789,0.002500635146493,0.0,0.9219824098592,0.0081019071861175,0.020341817084389,0.14450867979804,0.187600299561,0.7849042473520002,9.269999999999998,0.44236000000000003,0.0025357802896806636,0.2972231744943435,0.06789700224736221,0.3955167028530073
1848,McNairy County,tn,414.0,33.0,61591.49303860001,562.86055,563.61254,26103,45.09195428571429,46825.74971931429,0.0006681812107442857,0.045040628934015725,0.000649443993297143,0.0,0.9350782130742858,0.00379493093461,0.014768601853027141,0.1191181128024,0.18405580468399999,0.7811659192829998,9.269999999999998,0.46232857142857137,0.03456336617131408,0.30938972531892883,0.05436156763590392,0.34099528789794276
1863,Meigs County,tn,0.0,0.0,0.0,195.12169,216.74856999999997,11716,59.82207666666667,47409.21197743333,0.0,0.014294107158466665,0.0005323598752766666,0.0,0.9662882797869999,0.0,0.018885253179246667,0.06409790096403334,0.198561818604,0.774066341916,9.27,0.42756666666666665,0.0,0.3065039262546944,0.03303175145100717,0.33347558893820417
1945,Monroe County,tn,22.0,15.0,1186.4174403397,635.5645999999999,652.5581099999999,45293,114.57406428571429,49259.64534231429,0.0032043069749871428,0.02591892256424429,0.009218174585215715,0.0008482594585084287,0.9444195730680001,0.0008003989586610001,0.015590364390237142,0.10257374647714286,0.18674486803500004,0.783636363636,9.269999999999998,0.44134285714285715,0.0010561182852479479,0.2924513721767161,0.055902678118031485,0.35718543704325173
1967,Montgomery County,tn,83.0,68.0,4338.352523802579,539.1768231000001,543.8296018000002,185980,1423.1038821025638,58373.53777835001,0.021166741784414612,0.20889925444567434,0.006616395390499743,0.004494133214589744,0.7006251411163589,0.01486421680763847,0.04333411724073255,0.420557619701505,0.3786095883240001,0.5642655120640004,9.269999999999998,0.3955684210526316,0.0011025504782146652,0.1867727712657275,0.1006237229809657,0.39326271642112054
1975,Moore County,tn,1.0,1.0,5.49641002368,129.22258,130.41696000000002,6351,48.69714999999999,69987.30119665,0.0,0.0450387465213,0.012230114898525001,0.0,0.9362440417519999,0.0,0.00648709682806,0.1186667530872,0.16951469583,0.794600136705,9.27,0.4652,0.00033875338753387534,0.2923948984411904,0.0884900015745552,0.4794520547945205
1987,Morgan County,tn,4.0,4.0,137.73013450923997,522.18012,522.4927799999999,21794,53.651402000000004,52111.251078400004,0.00037738496521720003,0.0293729054811872,0.0005295652556680001,0.000315855969678,0.9566529514972,0.0019466022689662,0.010804734562134,0.07661329579092,0.158013205282,0.8146758703479999,9.27,0.4431999999999999,0.00044933722758930576,0.3667523171515096,0.028861154446177848,0.3162797100119299
2082,Obion County,tn,20.0,17.0,1078.6295425195,544.728155,555.506669,31129,164.33044199999998,53337.64578440999,0.0037558567118909994,0.090269439187549,0.0028637314281108996,0.0002467840080752,0.8796646419421,0.009141868495475002,0.014057678226848003,0.18547836825247,0.19839646567900002,0.779268591999,9.269999999999998,0.44616,0.0013688317021422216,0.28638889781232935,0.07160525554948761,0.40386777602878343
