,county,state,d_prop,r_prop,d_votes,r_votes
48,Sierra,California,0.3593281343731254,0.6406718656268746,599.0,1068.0
49,Siskiyou,California,0.39737943184320634,0.6026205681567937,7218.0,10946.0
276,Somervell,Texas,0.1370502609173304,0.8629497390826696,499.0,3142.0
277,Starr,Texas,0.6837749975371884,0.31622500246281154,6941.0,3210.0
53,State Totals,California,0.6194852712581237,0.38051472874187625,7721410.0,4742825.0
278,Stephens,Texas,0.09897959183673469,0.9010204081632653,291.0,2649.0
279,Sterling,Texas,0.08057851239669421,0.9194214876033058,39.0,445.0
280,Stonewall,Texas,0.16026711185308848,0.8397328881469115,96.0,503.0
281,Sutton,Texas,0.20893007582139847,0.7910699241786016,248.0,939.0
282,Swisher,Texas,0.19795589026358257,0.8020441097364174,368.0,1491.0
285,Terrell,Texas,0.3008849557522124,0.6991150442477876,136.0,316.0
286,Terry,Texas,0.1990623873061666,0.8009376126938333,552.0,2221.0
287,Throckmorton,Texas,0.09156976744186046,0.9084302325581395,63.0,625.0
288,Titus,Texas,0.256029449098756,0.743970550901244,2017.0,5861.0
58,Trinity,Texas,0.21355498721227623,0.7864450127877238,835.0,3075.0
59,Trinity,Texas,0.1628315132605304,0.8371684867394695,835.0,4293.0
57,Trinity,California,0.343878954607978,0.656121045392022,2250.0,4293.0
56,Trinity,California,0.4225352112676056,0.5774647887323944,2250.0,3075.0
61,Tuolumne,California,0.3892937924101533,0.6107062075898467,9294.0,14580.0
291,Tyler,Texas,0.13805811481218994,0.86194188518781,974.0,6081.0
293,Upton,Texas,0.14682539682539683,0.8531746031746031,148.0,860.0
294,Uvalde,Texas,0.39233226837060703,0.607667731629393,3070.0,4755.0
295,Val Verde,Texas,0.4665301762506676,0.5334698237493324,5241.0,5993.0
296,Van Zandt,Texas,0.12106537530266344,0.8789346246973365,2150.0,15609.0
298,Walker,Texas,0.30410724472333145,0.6958927552766686,5331.0,12199.0
300,Ward,Texas,0.23867173988239362,0.7613282601176063,690.0,2201.0
301,Washington,Texas,0.20585130447896244,0.7941486955210375,2730.0,10532.0
303,Wharton,Texas,0.2602311777569509,0.7397688222430491,3332.0,9472.0
304,Wheeler,Texas,0.06969026548672566,0.9303097345132744,126.0,1682.0
306,Wilbarger,Texas,0.20105664807748752,0.7989433519225124,685.0,2722.0
307,Willacy,Texas,0.5389207258834766,0.4610792741165234,2257.0,1931.0
309,Wilson,Texas,0.21709323583180987,0.7829067641681902,3800.0,13704.0
310,Winkler,Texas,0.19804741980474197,0.8019525801952581,284.0,1150.0
312,Wood,Texas,0.1389121338912134,0.8610878661087866,2324.0,14406.0
313,Yoakum,Texas,0.16281569048898442,0.8371843095110156,303.0,1558.0
314,Young,Texas,0.11514670896114194,0.884853291038858,726.0,5579.0
315,Zapata,Texas,0.6000928936367859,0.39990710636321414,1292.0,861.0
316,Zavala,Texas,0.7356890459363957,0.2643109540636042,2082.0,748.0
